Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Gambia, The",5.0,7.9,8.2,10.6,22.1,18.3,56.6,23.7,11.5,8.3,12.2,8.6,9.5,6.5,1.7,7.0,1.1,2.8,1.1,3.8,0.9,4.5,8.6,17.0,14.3,5.0,2.1,5.4,4.5,4.6,5.0,4.8,4.6,5.2,6.3,6.8,7.2,8.0,6.5,7.1,5.9,7.4,11.5,17.0,11.6,9.3,6.7,5.0,5.0,5.0,5.0
Georgia,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,7.2,3.6,19.1,4.0,4.7,5.6,4.8,5.7,8.2,9.2,9.2,10.0,1.7,7.1,8.5,-0.9,-0.5,3.1,4.0,2.1,6.0,2.6,4.9,5.2,9.6,11.9,2.5,1.1,3.6,3.2,3.0,3.0,3.0,3.0
Germany,5.4,6.3,5.3,3.3,2.4,2.1,-0.1,0.2,1.3,2.8,2.7,3.5,5.0,4.5,2.7,1.7,1.3,1.5,0.6,0.6,1.4,1.9,1.3,1.1,1.8,1.9,1.8,2.3,2.8,0.2,1.1,2.5,2.2,1.6,0.8,0.7,0.4,1.7,1.9,1.4,0.4,3.2,8.7,6.0,2.5,2.1,1.9,2.1,2.2,2.2,2.2
Greece,24.9,24.5,21.1,20.2,18.5,19.3,23.0,16.4,13.5,13.7,20.4,19.5,15.9,14.4,10.9,8.8,7.9,5.4,4.5,2.1,2.9,3.6,3.9,3.4,3.0,3.5,3.3,3.0,4.2,1.3,4.7,3.1,1.0,-0.9,-1.4,-1.1,0.0,1.1,0.8,0.5,-1.3,0.6,9.3,4.2,3.0,2.4,2.1,2.0,2.0,2.0,2.0
Grenada,21.8,18.8,7.8,6.1,5.7,2.5,0.6,-0.9,4.0,5.6,2.7,2.6,3.8,2.8,6.4,3.0,2.0,1.2,1.4,0.6,2.1,1.7,1.1,2.2,2.3,3.5,4.3,3.9,8.0,-0.3,3.4,3.0,2.4,0.0,-1.0,-0.5,1.6,0.9,0.8,0.6,-0.7,1.2,2.6,2.7,1.4,1.3,2.0,2.0,2.0,2.0,2.0
Guatemala,10.7,11.4,4.9,6.7,3.2,19.2,32.8,10.8,10.3,13.0,38.0,35.1,10.2,13.4,12.5,8.4,11.1,9.2,6.6,5.2,6.0,7.3,8.1,5.6,7.6,9.1,6.6,6.8,11.4,1.9,4.0,6.2,3.8,4.3,3.4,2.4,4.5,4.4,3.8,3.7,3.2,4.3,6.9,6.2,2.9,3.0,4.3,4.0,4.0,4.0,4.0
Guinea-Bissau,64.8,41.9,16.5,23.3,64.9,112.7,26.5,86.8,60.3,80.8,33.0,57.6,69.4,48.2,15.2,45.1,50.9,49.1,8.1,-2.1,8.6,3.3,3.3,-3.5,0.8,3.4,2.0,4.6,10.4,-1.6,1.1,5.1,2.1,0.8,-1.0,1.5,2.7,-0.2,0.4,0.3,1.5,3.3,7.9,7.2,3.7,2.0,2.0,2.0,2.0,2.0,2.0
Guyana,14.1,22.2,20.6,15.3,25.1,15.0,7.9,28.7,39.9,89.5,64.3,103.1,26.7,8.4,12.4,12.2,7.1,3.6,4.6,7.5,6.1,2.6,5.4,6.0,4.7,6.9,6.7,12.2,8.1,3.0,4.3,4.4,2.4,1.9,0.7,-0.9,0.8,1.9,1.3,2.1,1.2,3.3,6.5,4.5,2.5,3.6,4.4,5.0,5.5,5.6,5.4
Haiti,19.1,10.9,7.4,10.2,6.4,10.6,3.3,-11.4,4.1,6.9,21.3,15.4,19.4,22.6,42.6,30.2,20.6,11.6,6.6,2.8,6.4,15.5,6.6,22.2,25.7,14.1,13.0,6.9,12.5,5.6,2.9,5.2,5.7,5.3,3.2,5.3,11.4,10.6,11.4,17.3,22.9,15.9,27.6,44.1,25.8,27.2,22.7,15.8,12.6,9.3,7.2
Honduras,18.1,9.4,9.0,8.2,4.7,3.4,4.4,2.5,4.5,9.9,23.3,33.9,8.7,10.8,21.8,29.4,23.8,20.2,13.7,11.7,11.0,9.7,7.7,7.7,8.1,8.8,5.6,6.9,11.4,5.5,4.7,6.8,5.2,5.2,6.1,3.2,2.7,3.9,4.3,4.4,3.5,4.5,9.1,6.7,4.6,4.7,4.2,4.0,4.0,4.0,4.0
Hong Kong SAR,4.4,9.5,11.0,9.9,8.5,3.6,3.6,5.7,7.8,10.2,10.3,11.2,9.6,8.8,8.8,9.0,6.3,5.8,2.8,-4.0,-3.7,-1.6,-3.0,-2.6,-0.4,0.9,2.0,2.0,4.3,0.6,2.3,5.3,4.1,4.3,4.4,3.0,2.4,1.5,2.4,2.9,0.3,1.6,1.9,2.1,1.7,1.9,2.2,2.3,2.4,2.5,2.5
Hungary,9.3,4.5,7.0,6.4,8.7,7.0,5.3,8.7,15.8,16.9,29.0,34.2,22.9,22.5,18.9,28.3,23.5,18.3,14.2,10.0,9.8,9.2,5.3,4.7,6.8,3.6,3.9,8.0,6.1,4.2,4.9,3.9,5.7,1.7,-0.2,-0.1,0.4,2.4,2.8,3.4,3.3,5.1,14.6,17.1,3.7,4.9,3.6,3.2,3.0,3.0,3.0
Iceland,58.5,50.9,51.0,84.3,29.2,32.4,21.3,18.8,25.5,14.5,15.5,6.8,4.0,4.1,1.6,1.7,2.3,1.8,1.7,3.2,5.1,6.4,5.2,2.1,3.2,4.0,6.7,5.1,12.7,12.0,5.4,4.0,5.2,3.9,2.0,1.6,1.7,1.8,2.7,3.0,2.8,4.5,8.3,8.7,5.9,3.5,2.7,2.5,2.5,2.5,2.5
India,11.3,12.7,7.7,12.6,6.5,6.3,8.9,9.1,7.2,4.6,11.2,13.5,9.9,7.3,10.3,10.0,9.4,6.8,13.1,3.4,3.8,4.4,5.0,4.1,4.0,3.7,6.7,5.9,9.2,10.6,9.4,8.1,10.0,9.4,5.8,4.9,4.5,3.6,3.4,4.8,6.2,5.5,6.7,5.4,4.7,4.2,4.1,4.0,4.0,4.0,4.0
Ireland,18.3,20.2,17.2,10.4,8.6,5.5,3.0,3.2,2.2,4.0,3.4,3.1,3.1,1.4,2.4,2.5,2.2,1.3,2.1,2.4,5.3,4.0,4.7,4.0,2.3,2.2,2.7,2.9,3.1,-1.7,-1.6,1.2,1.9,0.5,0.3,0.0,-0.2,0.3,0.7,0.9,-0.5,2.4,8.1,5.2,1.3,1.9,1.7,1.8,1.9,2.0,2.0
Italy,21.8,19.5,16.5,14.7,10.7,9.0,5.8,4.7,5.1,6.2,6.4,6.2,5.0,4.5,4.2,5.4,4.0,1.8,2.0,1.7,2.6,2.3,2.6,2.8,2.3,2.2,2.2,2.0,3.5,0.8,1.6,2.9,3.3,1.2,0.2,0.1,-0.1,1.3,1.2,0.6,-0.1,1.9,8.7,5.9,1.1,1.7,2.0,2.0,2.0,2.0,2.0
Jamaica,18.0,9.2,6.8,16.7,31.3,29.7,24.4,11.2,8.2,16.1,24.8,51.0,77.3,21.6,35.5,19.9,26.4,9.7,8.6,6.0,8.1,6.9,7.0,10.1,13.5,15.1,8.5,9.3,22.0,9.6,12.6,7.5,6.9,9.4,8.3,3.7,2.3,4.4,3.7,3.9,5.2,5.9,10.3,6.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0
Japan,7.8,4.9,2.7,1.9,2.3,2.0,0.6,0.1,0.7,2.3,3.1,3.3,1.7,1.3,0.7,-0.1,0.1,1.7,0.7,-0.3,-0.7,-0.7,-0.9,-0.3,0.0,-0.3,0.3,0.0,1.4,-1.3,-0.7,-0.3,0.0,0.3,2.8,0.8,-0.1,0.5,1.0,0.5,0.0,-0.2,2.5,3.3,2.7,2.4,1.7,2.0,2.0,2.0,2.0
Jordan,10.9,7.7,7.6,5.0,4.0,2.8,0.0,-0.2,6.7,25.7,16.2,8.2,4.0,3.3,3.5,2.4,6.5,3.0,3.1,0.6,0.7,1.8,1.8,1.6,3.4,3.5,6.3,4.7,14.0,-0.7,4.8,4.2,4.5,4.8,2.9,-0.9,-0.8,3.3,4.5,0.8,0.3,1.3,4.2,2.1,0.2,3.6,2.6,2.3,2.2,2.3,2.3
Kazakhstan,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,1662.3,1402.0,176.4,39.2,17.4,7.1,8.3,13.2,8.4,6.0,6.4,7.0,7.4,8.6,10.8,17.2,7.3,7.1,8.4,5.1,5.8,6.6,6.8,14.6,7.5,6.0,5.3,6.8,8.0,15.0,14.5,8.7,9.9,9.4,9.2,7.4,5.7,5.0
Kenya,13.9,11.6,20.7,11.4,10.3,13.0,2.5,8.6,12.3,13.8,17.8,20.1,27.3,46.0,28.8,1.6,6.8,11.3,5.4,5.8,10.0,5.7,2.0,9.8,11.8,9.9,6.0,4.3,15.1,10.5,4.1,14.0,9.4,5.7,6.9,6.6,6.3,8.0,4.7,5.2,5.3,6.1,7.6,7.7,4.5,4.1,4.9,4.9,5.0,5.0,5.0
Kiribati,16.1,7.7,5.5,6.3,5.4,4.5,6.6,-10.2,1.1,5.6,4.0,6.1,4.2,6.1,4.0,4.1,-1.7,2.6,3.7,1.8,0.4,6.0,3.2,1.6,-0.7,-0.4,-1.0,3.6,13.7,9.8,-3.9,1.5,-3.0,-1.5,2.1,0.6,1.9,0.4,0.6,-1.8,2.6,2.1,5.3,9.3,2.5,4.6,3.5,3.0,2.5,2.0,2.0
"Korea, Republic of",28.7,21.4,7.2,3.4,2.3,2.5,2.8,3.0,7.1,5.7,8.6,9.3,6.2,4.8,6.3,4.5,4.9,4.4,7.5,0.8,2.3,4.1,2.8,3.5,3.6,2.8,2.2,2.5,4.7,2.8,2.9,4.0,2.2,1.3,1.3,0.7,1.0,1.9,1.5,0.4,0.5,2.5,5.1,3.6,2.3,1.8,1.8,1.9,2.0,2.0,2.0
Kosovo,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,11.788207547169813,11.91455399061033,11.7,2.7,1.2,-1.1,-1.4,0.6,4.3,9.3,-2.4,3.5,7.3,2.5,1.8,0.4,-0.5,0.2,1.5,1.1,2.7,0.2,3.3,11.6,4.9,1.6,2.2,1.9,2.0,2.0,2.0,2.0
Kuwait,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,11.788207547169813,11.91455399061033,8.814746543778803,5.870319634703196,6.15158371040724,5.864414414414414,5.710267857142858,5.967857142857143,5.539285714285714,10.488839285714286,4.597321428571428,4.338839285714285,6.260538116591928,5.484375,4.177333333333333,2.9,3.3,2.9,1.6,0.6,1.1,2.1,3.4,4.0,3.6,2.9,2.5,2.2,2.0,1.9,1.8,1.7
Kyrgyz Republic,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,1086.2,180.7,42.2,31.9,23.4,10.5,35.9,19.7,6.9,2.1,3.0,4.1,4.3,5.6,10.2,24.5,6.8,8.0,16.6,2.8,6.6,7.5,6.5,0.4,3.2,1.5,1.1,6.3,11.9,13.9,10.8,5.0,7.0,5.7,5.2,5.0,5.0,5.0
Latvia,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,109.2,35.9,25.0,17.6,8.1,4.3,2.1,2.6,2.5,2.0,2.9,6.2,6.9,6.6,10.1,15.3,3.3,-1.2,4.2,2.3,0.0,0.7,0.2,0.1,2.9,2.6,2.7,0.1,3.2,17.2,9.1,1.3,2.4,2.4,2.6,2.2,2.2,2.2
Lesotho,19.6,12.2,12.4,17.5,10.8,13.2,18.2,11.6,11.6,14.8,11.5,17.9,17.0,13.8,7.3,10.0,9.1,8.5,7.8,8.6,6.1,6.9,12.6,7.2,5.0,3.4,6.1,8.0,10.7,7.4,3.5,5.0,6.1,4.9,5.4,3.2,6.6,4.4,4.8,5.2,5.0,6.0,8.3,6.3,6.1,4.3,5.1,5.1,5.2,5.0,5.0
Liberia,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,2.0,5.3,12.1,14.2,10.3,3.6,6.9,9.5,11.4,17.5,7.4,7.3,8.5,6.8,7.6,9.9,7.7,8.8,12.4,23.5,27.0,17.0,7.8,7.6,10.1,8.2,8.2,7.4,5.9,5.3,5.0,4.9
Libya,14.3,13.2,13.8,10.5,12.4,9.1,3.4,4.4,3.1,4.5,0.7,11.7,9.4,7.5,10.7,8.3,4.0,3.6,3.7,2.6,-2.9,-8.8,-9.9,-2.1,1.3,2.7,1.5,6.2,10.4,2.4,2.5,15.9,6.1,2.6,2.4,10.0,25.9,25.8,14.0,-2.9,1.5,2.9,4.5,2.4,2.1,2.3,2.3,2.3,2.3,2.3,2.3
Lithuania,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,23.1,8.7,5.4,1.4,1.1,1.5,0.3,-1.1,1.2,2.7,3.8,5.8,11.1,4.2,1.2,4.1,3.2,1.2,0.2,-0.7,0.7,3.7,2.5,2.2,1.1,4.6,18.9,8.7,0.9,3.5,2.8,2.6,2.5,2.5,2.5
Luxembourg,6.3,8.1,9.4,8.7,5.6,4.1,0.3,-0.1,1.4,3.4,3.7,3.1,3.2,3.6,2.2,1.9,1.2,1.4,1.0,1.0,3.8,2.4,2.1,2.5,3.2,3.8,3.0,2.7,4.1,0.0,2.8,3.7,2.9,1.7,0.7,0.1,0.0,2.1,2.0,1.7,0.0,3.5,8.1,2.9,2.3,2.2,2.1,2.0,2.0,2.0,2.0
Macao SAR,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,11.788207547169813,11.91455399061033,8.814746543778803,-2.6,-1.6,1.0,4.4,5.2,5.6,8.6,1.2,2.8,5.8,6.1,5.5,6.0,4.6,2.4,1.2,3.0,2.8,0.8,0.0,1.0,0.9,0.7,0.9,1.3,1.8,2.1,2.1,2.2
Madagascar,18.3,30.5,31.9,19.5,9.7,10.6,14.5,15.5,26.3,9.0,11.9,8.5,14.6,10.0,39.0,49.0,19.8,4.5,6.2,7.2,11.6,7.9,16.5,-1.7,14.0,18.4,10.8,10.3,9.3,9.0,9.2,9.5,5.7,5.8,6.1,7.4,6.1,8.6,8.6,5.6,4.2,5.8,8.2,9.9,7.6,8.4,7.2,6.4,6.0,6.0,6.0
Malaysia,6.7,9.7,5.8,3.7,3.9,2.6,0.4,0.7,0.3,2.6,3.0,4.3,4.8,3.5,3.7,3.5,3.5,2.7,5.3,2.7,1.6,1.4,1.8,1.1,1.4,3.0,3.6,2.0,5.4,0.6,1.7,3.2,1.7,2.1,3.1,2.1,2.1,3.8,1.0,0.7,-1.1,2.5,3.4,2.5,1.8,2.4,2.2,2.0,2.0,2.0,2.0
Maldives,27.9,11.1,-0.8,9.9,1.0,-9.2,9.1,11.7,6.5,7.2,15.5,12.5,16.9,20.1,3.4,5.5,6.2,7.6,-1.4,3.0,-1.2,0.7,0.9,-2.8,6.3,2.5,3.5,6.8,12.0,4.5,6.1,11.3,10.9,4.0,2.4,1.4,0.8,2.3,1.4,1.3,-1.6,0.2,2.6,2.6,1.4,2.0,4.0,2.0,2.0,2.0,2.0
Mali,20.3,12.7,3.9,10.5,10.7,9.1,-1.4,-14.9,8.9,-0.2,1.6,1.5,-5.9,-0.6,24.3,11.6,6.5,-0.7,4.1,-1.2,-0.8,5.2,5.0,-1.3,-3.1,6.4,1.6,1.4,9.2,2.4,1.2,3.0,5.3,-0.6,0.9,1.4,-1.8,2.4,1.9,-3.0,0.5,3.8,9.7,2.1,3.2,3.0,2.0,2.0,2.0,2.0,2.0
Malta,2.7,11.6,5.8,-0.9,-0.4,-0.2,2.0,0.4,0.9,0.9,3.0,2.6,1.8,4.0,4.1,4.0,2.0,3.9,3.7,2.3,3.0,2.5,2.6,1.9,2.7,2.5,2.6,0.7,4.7,1.8,2.0,2.5,3.2,1.0,0.8,1.2,0.9,1.3,1.7,1.5,0.8,0.7,6.1,5.6,2.4,2.1,1.9,2.1,2.0,2.0,2.0
Marshall Islands,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,11.788207547169813,11.91455399061033,8.814746543778803,5.870319634703196,6.15158371040724,2.0,3.5,5.3,2.6,14.7,0.5,1.8,5.4,4.3,1.9,1.1,-2.2,-1.5,0.1,0.8,-0.1,-0.7,2.2,2.8,7.4,5.4,3.3,2.9,4.1,2.9,2.4,2.4
Mauritania,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,5.6,10.1,9.4,4.1,6.5,4.7,4.6,8.0,4.1,3.3,4.7,3.9,5.2,10.4,12.1,6.2,7.3,7.5,2.1,6.3,5.7,4.9,4.1,3.8,0.5,1.5,2.3,3.1,2.3,2.4,3.6,9.6,4.9,2.3,3.5,4.0,4.0,4.0,4.0,4.0
Mauritius,33.0,26.4,13.4,7.5,5.5,8.3,4.3,0.7,3.6,13.6,10.7,12.8,2.9,15.3,7.3,6.0,6.6,6.8,6.8,6.9,4.2,5.4,6.4,2.7,4.7,4.9,8.9,8.8,9.7,2.5,2.9,6.5,3.9,3.5,3.2,1.3,1.0,3.7,3.2,0.5,2.5,4.0,10.8,7.0,3.6,3.6,3.6,3.5,3.5,3.5,3.5
Mexico,26.5,28.0,59.1,101.8,65.4,57.8,86.4,132.0,113.5,19.9,26.7,22.6,15.5,9.8,7.0,35.1,34.3,20.6,15.9,16.6,9.5,6.4,5.0,4.6,4.7,4.0,3.6,4.0,5.1,5.3,4.2,3.4,4.1,3.8,4.0,2.7,2.8,6.0,4.9,3.6,3.4,5.7,7.9,5.5,4.7,3.5,3.2,3.0,3.0,3.0,3.0
"Micronesia, Fed. States of",21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,2.8,2.7,1.6,1.9,1.8,1.3,-0.2,-0.2,1.7,4.1,4.4,3.6,6.6,8.2,3.6,3.9,6.3,2.1,0.7,0.0,-0.9,0.1,1.0,2.2,1.0,1.8,5.0,6.2,5.4,5.0,3.0,2.3,2.2,2.2,2.2
Moldova,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,788.5,329.6,30.2,23.5,11.8,7.7,39.3,31.2,9.6,5.2,11.7,12.4,11.9,12.7,12.4,12.7,0.0,7.4,7.6,4.6,4.6,5.1,9.6,6.4,6.5,3.6,4.8,3.8,5.1,28.7,13.4,4.7,8.0,5.9,5.0,5.0,5.0,5.0
